collection,request_name,method,path,raw_url
HPE Aruba Networking Central (Classic Central),Step 1 - Login & Obtain CSRF Token,POST,/oauth2/authorize/central/api/login,{{base_url}}/oauth2/authorize/central/api/login?client_id={{client_id}}
HPE Aruba Networking Central (Classic Central),Step 2 - Obtain Authorization Code ,POST,/oauth2/authorize/central/api/,{{base_url}}/oauth2/authorize/central/api/?client_id={{client_id}}&response_type=code&scope=all
HPE Aruba Networking Central (Classic Central),Step 3 - Acquire the Access Token,POST,/oauth2/token,{{base_url}}/oauth2/token
HPE Aruba Networking Central (Classic Central),Step 1 - Login & Obtain CSRF Token,POST,/oauth2/authorize/central/api/login,{{base_url}}/oauth2/authorize/central/api/login?client_id={{client_id}}
HPE Aruba Networking Central (Classic Central),Step 2 - Obtain Authorization Code ,POST,/oauth2/authorize/central/api/,{{base_url}}/oauth2/authorize/central/api/?client_id={{client_id}}&response_type=code&scope=all
HPE Aruba Networking Central (Classic Central),Step 3 - Acquire the Access Token,POST,/oauth2/token,{{base_url}}/oauth2/token
HPE Aruba Networking Central (Classic Central),Refresh Access Token,POST,/oauth2/token,{{base_url}}/oauth2/token?client_id={{client_id}}&client_secret={{client_secret}}&grant_type=refresh_token&refresh_token={{refresh_token}}
HPE Aruba Networking Central (Classic Central),Refresh Access Token,POST,/oauth2/token,{{base_url}}/oauth2/token?client_id={{client_id}}&client_secret={{client_secret}}&grant_type=refresh_token&refresh_token={{refresh_token}}
HPE Aruba Networking Central (Classic Central),Delete Access Token,DELETE,/oauth2/api/tokens,{{base_url}}/oauth2/api/tokens
HPE Aruba Networking Central (Classic Central),Delete Access Token,DELETE,/oauth2/api/tokens,{{base_url}}/oauth2/api/tokens
HPE Aruba Networking Central (Classic Central),Get all audit logs,GET,/platform/auditlogs/v1/logs,{{base_url}}/platform/auditlogs/v1/logs?limit=20&offset=0&username=<string>&start_time=<integer>&end_time=<integer>&description=<string>&target=<string>&classification=<string>&customer_name=<string>&ip_address=<string>&app_id=<string>
HPE Aruba Networking Central (Classic Central),Get details of an audit log,GET,/platform/auditlogs/v1/logs/:id,{{base_url}}/platform/auditlogs/v1/logs/:id
HPE Aruba Networking Central (Classic Central),Get all audit logs,GET,/platform/auditlogs/v1/logs,{{base_url}}/platform/auditlogs/v1/logs?limit=20&offset=0&username=<string>&start_time=<integer>&end_time=<integer>&description=<string>&target=<string>&classification=<string>&customer_name=<string>&ip_address=<string>&app_id=<string>
HPE Aruba Networking Central (Classic Central),Get details of an audit log,GET,/platform/auditlogs/v1/logs/:id,{{base_url}}/platform/auditlogs/v1/logs/:id
HPE Aruba Networking Central (Classic Central),Enable/Disable the Syslog App.,POST,/ofcapi/v1/syslog/flow,{{base_url}}/ofcapi/v1/syslog/flow
HPE Aruba Networking Central (Classic Central),Enable Syslog App on a list of given device SerialIDs.,POST,/ofcapi/v1/syslog/flows/:enable,{{base_url}}/ofcapi/v1/syslog/flows/:enable
HPE Aruba Networking Central (Classic Central),Check Status of Syslog App for given SerialIDs.,POST,/ofcapi/v1/syslog/flows/status/device_list,{{base_url}}/ofcapi/v1/syslog/flows/status/device_list
HPE Aruba Networking Central (Classic Central),Check Status of Enabled Flow SerialID,GET,/ofcapi/v1/syslog/flow/status/:serial_id,{{base_url}}/ofcapi/v1/syslog/flow/status/:serial_id
HPE Aruba Networking Central (Classic Central),Enable Syslog App on a list of given device SerialIDs.,POST,/ofcapi/v1/syslog/flows/:enable,{{base_url}}/ofcapi/v1/syslog/flows/:enable
HPE Aruba Networking Central (Classic Central),Check Status of Syslog App for given SerialIDs.,POST,/ofcapi/v1/syslog/flows/status/device_list,{{base_url}}/ofcapi/v1/syslog/flows/status/device_list
HPE Aruba Networking Central (Classic Central),Enable/Disable the Syslog App.,POST,/ofcapi/v1/syslog/flow,{{base_url}}/ofcapi/v1/syslog/flow
HPE Aruba Networking Central (Classic Central),Check Status of Enabled Flow SerialID,GET,/ofcapi/v1/syslog/flow/status/:serial_id,{{base_url}}/ofcapi/v1/syslog/flow/status/:serial_id
HPE Aruba Networking Central (Classic Central),Wi-Fi Connectivity at Global,GET,/aiops/v1/connectivity/global/stage/:stage/export,{{base_url}}/aiops/v1/connectivity/global/stage/:stage/export?from=<long>&to=<long>
